Instance,iteration,time,budget,Obj,interdiction
3,25,20.83009791,20,327,[   0   21  208  209  211  224  242  272  283  344  352  444  447  473 1445 1471 2096 2507 2979 3012]
3,26,31.93194485,20,327,[   0   21  208  209  211  224  242  272  283  344  352  444  447  473 1445 1471 2096 2507 2979 3012]
3,27,53.98371196,20,327,[   0   21  209  210  211  224  242  245  272  283  444  447  473 1471 2096 2493 2695 2954 2979 3012]
3,28,97.56519079,20,326.2158203,[   0   21  208  209  211  224  272  283  352  444  447  533 1471 1488 1784 2096 2493 2695 2979 3012]
3,29,184.4229939,20,326.1142578,[   0   21  209  211  224  242  245  272  283  444  447  533 1471 1488 2096 2493 2695 2954 2979 3012]
3,30,185.6123929,20,325.7705078,[   0   21  209  211  224  242  245  272  283  444  447  533 1471 1488 2096 2493 2695 2954 2979 3012]
3,31,360.6033258,20,324.7197266,[   0   21  209  211  224  242  245  272  283  444  447  533  960 1471 2096 2493 2695 2954 2979 3012]
3,32,363.2116389,20,323.6259766,[   0   21  209  211  224  242  245  272  283  444  447  533  960 1471 2096 2493 2695 2954 2979 3012]
3,33,717.0283918,20,322.4599609,[   0   21  209  211  224  242  245  272  283  286  444  447  533 1471 2096 2493 2695 2954 2979 3012]
3,34,722.7142739,20,321.625,[   0   21  208  209  211  224  272  283  286  352  444  447  960 1471 2096 2493 2695 2954 2979 3012]
3,35,731.7537189,20,321.1689453,[   0   21  209  211  224  242  245  272  283  444  447  533  960 1471 2096 2493 2695 2954 2979 3012]
3,36,1458.382758,20,318.5089722,[   0   21  209  211  224  242  245  272  283  286  444  447  533 1471 2096 2493 2695 2954 2979 3012]
3,37,1468.999812,20,318.385437,[   0   21  208  209  211  224  272  283  352  444  447  852  960 1471 2096 2493 2695 2954 2979 3012]
3,38,1482.332517,20,318.2506714,[   0   21  209  211  224  242  245  272  283  444  447  533  960 1471 2096 2493 2695 2954 2979 3012]
3,39,2968.4567,20,316.8509216,[   0   21  209  211  224  242  245  272  286  444  447  960 1471 1784 2096 2493 2695 2954 2979 3012]
3,40,3010.653966,20,316.0486755,[   0   21  208  209  211  224  242  272  283  352  444  447 1471 1784 2096 2493 2695 2954 2979 3012]
3,41,3033.377259,20,315.7542419,[   0   21  209  211  224  242  245  272  444  447  960  994 1471 1784 2096 2493 2695 2954 2979 3012]
3,42,3048.308892,20,315.5340271,[   0   21  209  211  224  242  245  272  444  447  960  994 1445 1471 2096 2493 2695 2954 2979 3012]
4,1,0.393034935,2,175,[1685 2743]
4,2,0.930599928,2,142,[   0 1685]
4,3,1.878161192,2,142,[   0 1685]
4,4,3.343751907,2,142,[   0 1685]
4,5,5.762816906,2,142,[   0 1685]
4,6,10.21654916,2,142,[   0 1685]
4,7,18.86254501,2,141.875,[   0 1685]
4,8,35.83202505,2,141.5625,[   0 1770]
4,9,41.73150897,2,141.5625,[   0 1685]
4,10,77.64003801,2,141.1484375,[   0 1685]
4,11,136.880702,2,140.828125,[   0 1685]
4,12,228.943785,2,140.5976563,[   0 1685]
4,13,363.694859,2,140.4345093,[   0 1685]
4,14,550.624321,2,140.3359985,[   0 1685]
4,15,796.607209,2,140.2845612,[   0 1685]
4,16,1110.587641,2,140.2584457,[   0 1685]
4,17,1501.527284,2,140.246973,[   0 1685]
4,18,1986.128001,2,140.2418842,[   0 1685]
4,19,2587.119652,2,140.2393596,[   0 1685]
4,20,3333.516095,2,140.2380592,[   0 1685]
4,1,0.39316082,20,317,[   0    1    2    3    4    5    6    7    8    9   10   11   58 1455 1685 1707 1770 2547 2731 2743]
